1,CENOZOIC,-999999,65.5,( 0 Ma - 65.5 Ma ),CENOZOIC ( 0 Ma - 65.5 Ma )
2,QUATERNARY,0,2.5999999,( 0 Ma - 2.6 Ma ),QUATERNARY ( 0 Ma - 2.6 Ma )
3,HOLOCENE,0,0.01,( 0 Ma - 0.01 Ma ),HOLOCENE ( 0 Ma - 0.01 Ma )
4,PLEISTOCENE,0.01,2.5999999,( 0.01 Ma - 2.6 Ma ),PLEISTOCENE ( 0.01 Ma - 2.6 Ma )
5,CALABRIAN,0.01,1.8,( 0.01 Ma - 1.8 Ma ),CALABRIAN ( 0.01 Ma - 1.8 Ma )
6,GELASIAN,1.8,2.5999999,( 1.8 Ma - 2.6 Ma ),GELASIAN ( 1.8 Ma - 2.6 Ma )
7,TERTIARY,2.5999999,65.5,( 2.6 Ma - 65.5 Ma ),TERTIARY ( 2.6 Ma - 65.5 Ma )
8,NEOGENE,2.5999999,23,( 2.6 Ma - 23 Ma ),NEOGENE ( 2.6 Ma - 23 Ma )
9,PLIOCENE,2.5999999,5.3000002,( 2.6 Ma - 5.3 Ma ),PLIOCENE ( 2.6 Ma - 5.3 Ma )
10,PIACENZIAN,2.5999999,3.5999999,( 2.6 Ma - 3.6 Ma ),PIACENZIAN ( 2.6 Ma - 3.6 Ma )
11,ZANCLEAN,3.5999999,5.3000002,( 3.6 Ma - 5.3 Ma ),ZANCLEAN ( 3.6 Ma - 5.3 Ma )
12,MIOCENE,5.3000002,23,( 5.3 Ma - 23 Ma ),MIOCENE ( 5.3 Ma - 23 Ma )
13,MESSINIAN,5.3000002,7.1999998,( 5.3 Ma - 7.2 Ma ),MESSINIAN ( 5.3 Ma - 7.2 Ma )
14,TORTONIAN,7.3000002,11.6,( 7.3 Ma - 11.6 Ma ),TORTONIAN ( 7.3 Ma - 11.6 Ma )
15,SERRAVALLIAN,11.6,13.8,( 11.6 Ma - 13.8 Ma ),SERRAVALLIAN ( 11.6 Ma - 13.8 Ma )
16,LANGHIAN,13.8,16,( 13.8 Ma - 16 Ma ),LANGHIAN ( 13.8 Ma - 16 Ma )
17,BURDIGALIAN,16,20.4,( 16 Ma - 20.4 Ma ),BURDIGALIAN ( 16 Ma - 20.4 Ma )
18,AQUITANIAN,20.4,23,( 20.4 Ma - 23 Ma ),AQUITANIAN ( 20.4 Ma - 23 Ma )
19,PALEOGENE,23,65.5,( 23 Ma - 65.5 Ma ),PALEOGENE ( 23 Ma - 65.5 Ma )
20,OLIGOCENE,23,33.900002,( 23 Ma - 33.9 Ma ),OLIGOCENE ( 23 Ma - 33.9 Ma )
21,CHATTIAN,23,28.4,( 23 Ma - 28.4 Ma ),CHATTIAN ( 23 Ma - 28.4 Ma )
22,RUPELIAN,28.4,33.900002,( 28.4 Ma - 33.9 Ma ),RUPELIAN ( 28.4 Ma - 33.9 Ma )
23,EOCENE,33.900002,55.799999,( 33.9 Ma - 55.8 Ma ),EOCENE ( 33.9 Ma - 55.8 Ma )
24,PRIABONIAN,33.900002,37.200001,( 33.9 Ma - 37.2 Ma ),PRIABONIAN ( 33.9 Ma - 37.2 Ma )
25,BARTONIAN,37.200001,40.400002,( 37.2 Ma - 40.4 Ma ),BARTONIAN ( 37.2 Ma - 40.4 Ma )
26,LUTETIAN,40.400002,48.599998,( 40.4 Ma - 48.6 Ma ),LUTETIAN ( 40.4 Ma - 48.6 Ma )
27,YPRESIAN,48.599998,55.799999,( 48.6 Ma - 55.8 Ma ),YPRESIAN ( 48.6 Ma - 55.8 Ma )
28,PALEOCENE,55.799999,65.5,( 55.8 Ma - 65.5 Ma ),PALEOCENE ( 55.8 Ma - 65.5 Ma )
29,THANETIAN,55.799999,58.700001,( 55.8 Ma - 58.7 Ma ),THANETIAN ( 55.8 Ma - 58.7 Ma )
30,SELANDIAN,58.700001,61.700001,( 58.7 Ma - 61.7 Ma ),SELANDIAN ( 58.7 Ma - 61.7 Ma )
31,DANIAN,61.700001,65.5,( 61.7 Ma - 65.5 Ma ),DANIAN ( 61.7 Ma - 65.5 Ma )
32,MESOZOIC,65.5,251,( 65.5 Ma - 251 Ma ),MESOZOIC ( 65.5 Ma - 251 Ma )
33,CRETACEOUS,65.5,145.5,( 65.5 Ma - 145.5 Ma ),CRETACEOUS ( 65.5 Ma - 145.5 Ma )
34,LATE CRETACEOUS,65.5,99.599998,( 65.5 Ma - 99.6 Ma ),LATE CRETACEOUS ( 65.5 Ma - 99.6 Ma )
